graph_id,num_nodes,num_edges,label,aggregated_features
21,10,9,0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,10,9,0,"[0.998798131942749, 0.005724831018596888, 0.0023262929171323776, -0.007580323610454798, 0.010929569602012634, 0.010010727681219578, -0.003699289169162512, 0.006777985952794552, -0.006508318707346916, 0.0033955853432416916]"
21,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
680,11,10,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
680,11,10,2,"[1.0039256811141968, 1.017343521118164, 0.9878809452056885, 1.0099735260009766, -0.007240926846861839, 0.010229757986962795, 0.006544321775436401, -0.0021026802714914083, 0.013037743046879768, -0.00012246020196471363, 0.0012136840960010886]"
680,11,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
82,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
82,10,9,0,"[0.993595540523529, 0.987956702709198, 0.999457836151123, 1.006623387336731, -0.014607069082558155, -0.005941198207437992, 0.0015607577515766025, -0.004425740335136652, -0.00973074696958065, -0.0027924696914851665]"
82,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
266,9,8,1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
266,9,8,1,"[1.002675175666809, 0.9898033738136292, 1.0102035999298096, 1.016830563545227, -0.015439622104167938, -0.013086426071822643, 0.009450946934521198, -0.0015194370644167066, -0.01253325305879116]"
266,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
309,9,8,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
309,9,8,1,"[1.0077354907989502, -0.012768217362463474, 0.012718332931399345, -0.005671812687069178, 0.006628271192312241, -0.012582140974700451, 0.010357020422816277, 0.002399199642241001, 0.0041159987449646]"
309,9,8,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
17,10,9,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
17,10,9,0,"[1.0076568126678467, 0.9808981418609619, 1.0018318891525269, 0.9920825958251953, 0.9917057752609253, 1.005354404449463, -0.0001242163998540491, -0.011480209417641163, 0.012537272647023201, -0.004842657130211592]"
17,10,9,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
93,10,9,0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
93,10,9,0,"[0.9956102967262268, 0.9872965812683105, 1.0049521923065186, 1.0142065286636353, 0.0033900290727615356, 0.0029902479145675898, 0.018973346799612045, -0.004094638396054506, -0.007831322029232979, -0.008340745232999325]"
93,10,9,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
813,11,10,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
